prec_id,G. K. Butterfield,Pete DiLauro,Darryl Holloman,election
durham_46,487,154,32,us_house_of_representatives_district_1
durham_47,400,12,3,us_house_of_representatives_district_1
durham_52,547,75,10,us_house_of_representatives_district_1
durham_54,746,220,65,us_house_of_representatives_district_1
durham_55-11,409,7,5,us_house_of_representatives_district_1
durham_55-49,298,5,9,us_house_of_representatives_district_1
edgecombe_0101,402,36,11,us_house_of_representatives_district_1
edgecombe_0102,395,250,17,us_house_of_representatives_district_1
edgecombe_0104,308,233,8,us_house_of_representatives_district_1
edgecombe_0201,238,179,6,us_house_of_representatives_district_1
edgecombe_0301,104,70,1,us_house_of_representatives_district_1
edgecombe_0401,152,62,3,us_house_of_representatives_district_1
edgecombe_0501,147,99,6,us_house_of_representatives_district_1
edgecombe_0601,244,90,5,us_house_of_representatives_district_1
edgecombe_0701,239,89,4,us_house_of_representatives_district_1
edgecombe_0901,4,3,0,us_house_of_representatives_district_1
edgecombe_1101,16,24,1,us_house_of_representatives_district_1
edgecombe_1201,646,25,7,us_house_of_representatives_district_1
edgecombe_1202,369,9,4,us_house_of_representatives_district_1
edgecombe_1203,275,211,8,us_house_of_representatives_district_1
edgecombe_1204,313,12,1,us_house_of_representatives_district_1
edgecombe_1205,282,3,0,us_house_of_representatives_district_1
franklin_01,1017,353,43,us_house_of_representatives_district_1
franklin_02,664,311,30,us_house_of_representatives_district_1
franklin_03,662,308,38,us_house_of_representatives_district_1
franklin_10,333,331,18,us_house_of_representatives_district_1
franklin_11,797,338,37,us_house_of_representatives_district_1
franklin_15,1374,512,52,us_house_of_representatives_district_1
franklin_16,946,429,45,us_house_of_representatives_district_1
gates_1,246,152,11,us_house_of_representatives_district_1
gates_4S,255,120,11,us_house_of_representatives_district_1
granville_ANTI,682,206,8,us_house_of_representatives_district_1
granville_BTNR,1206,676,50,us_house_of_representatives_district_1
granville_CORI,877,626,44,us_house_of_representatives_district_1
granville_CRDL,987,317,40,us_house_of_representatives_district_1
granville_EAOX,1177,384,29,us_house_of_representatives_district_1
granville_SALM,708,528,27,us_house_of_representatives_district_1
granville_SOOX,986,160,16,us_house_of_representatives_district_1
granville_TYHO,1018,1404,92,us_house_of_representatives_district_1
granville_WOEL,823,221,14,us_house_of_representatives_district_1
greene_ARBA,166,125,5,us_house_of_representatives_district_1
greene_BULL,157,102,8,us_house_of_representatives_district_1
greene_SH#1,146,142,5,us_house_of_representatives_district_1
greene_SHIN,180,217,9,us_house_of_representatives_district_1
greene_SUGG,111,145,4,us_house_of_representatives_district_1
greene_WALS,140,92,10,us_house_of_representatives_district_1
halifax_BUTWD,73,76,2,us_house_of_representatives_district_1
halifax_CONC,106,26,3,us_house_of_representatives_district_1
halifax_ENF1,384,116,3,us_house_of_representatives_district_1
halifax_ENF 2,187,32,3,us_house_of_representatives_district_1
halifax_FAUCT,173,228,11,us_house_of_representatives_district_1
halifax_HAL,133,59,2,us_house_of_representatives_district_1
halifax_HPR,314,197,2,us_house_of_representatives_district_1
halifax_HOL,743,36,6,us_house_of_representatives_district_1
halifax_LIT 1,376,118,5,us_house_of_representatives_district_1
halifax_LIT 2,179,280,18,us_house_of_representatives_district_1
halifax_RINGW,298,42,3,us_house_of_representatives_district_1
halifax_RR1-2,149,213,12,us_house_of_representatives_district_1
halifax_RR 3,124,202,12,us_house_of_representatives_district_1
halifax_RR 4,121,233,10,us_house_of_representatives_district_1
halifax_RR 5,89,145,7,us_house_of_representatives_district_1
halifax_RR 6,79,185,8,us_house_of_representatives_district_1
halifax_RR 7,165,54,3,us_house_of_representatives_district_1
halifax_RR 8,116,139,6,us_house_of_representatives_district_1
halifax_RR 9,322,150,9,us_house_of_representatives_district_1
halifax_RR 10,265,418,25,us_house_of_representatives_district_1
halifax_RR 11,242,358,13,us_house_of_representatives_district_1
halifax_SN,914,312,17,us_house_of_representatives_district_1
halifax_WEL 1,214,54,2,us_house_of_representatives_district_1
halifax_WEL 2,111,69,2,us_house_of_representatives_district_1
halifax_WEL 3,309,116,8,us_house_of_representatives_district_1
hertford_A1,359,164,13,us_house_of_representatives_district_1
hertford_A2,311,206,7,us_house_of_representatives_district_1
hertford_A3,305,12,0,us_house_of_representatives_district_1
hertford_BR,141,11,2,us_house_of_representatives_district_1
hertford_CM,127,80,12,us_house_of_representatives_district_1
hertford_CO,173,27,4,us_house_of_representatives_district_1
hertford_HV,244,113,6,us_house_of_representatives_district_1
hertford_M1,469,153,16,us_house_of_representatives_district_1
hertford_M2,229,57,8,us_house_of_representatives_district_1
hertford_ML,77,173,2,us_house_of_representatives_district_1
hertford_SJ,239,99,10,us_house_of_representatives_district_1
hertford_UN,157,108,3,us_house_of_representatives_district_1
hertford_WN,166,65,1,us_house_of_representatives_district_1
lenoir_K1,620,9,4,us_house_of_representatives_district_1
lenoir_K2,693,25,8,us_house_of_representatives_district_1
lenoir_K3,676,171,16,us_house_of_representatives_district_1
lenoir_K5,736,213,14,us_house_of_representatives_district_1
lenoir_K6,1272,143,13,us_house_of_representatives_district_1
lenoir_K7,1249,154,5,us_house_of_representatives_district_1
lenoir_K8,818,4,0,us_house_of_representatives_district_1
lenoir_K9,945,430,19,us_house_of_representatives_district_1
lenoir_MH,1529,1109,44,us_house_of_representatives_district_1
lenoir_SH,148,316,12,us_house_of_representatives_district_1
lenoir_V,760,330,17,us_house_of_representatives_district_1
lenoir_CURBSIDE,0,0,0,us_house_of_representatives_district_1
martin_GN,305,118,10,us_house_of_representatives_district_1
martin_HM,245,114,6,us_house_of_representatives_district_1
martin_HS,130,42,8,us_house_of_representatives_district_1
martin_J,115,57,2,us_house_of_representatives_district_1
martin_R1,307,136,15,us_house_of_representatives_district_1
martin_R2,372,147,9,us_house_of_representatives_district_1
martin_W1,408,248,17,us_house_of_representatives_district_1
martin_W2,471,237,15,us_house_of_representatives_district_1
nash_0002,173,162,8,us_house_of_representatives_district_1
nash_0003,229,231,21,us_house_of_representatives_district_1
nash_0007,329,126,10,us_house_of_representatives_district_1
nash_0011,316,279,19,us_house_of_representatives_district_1
nash_0021,294,80,3,us_house_of_representatives_district_1
nash_0022,183,147,10,us_house_of_representatives_district_1
nash_0025,0,0,0,us_house_of_representatives_district_1
nash_0031,204,61,7,us_house_of_representatives_district_1
nash_0032,230,123,9,us_house_of_representatives_district_1
nash_0033,492,46,6,us_house_of_representatives_district_1
nash_0034,649,88,6,us_house_of_representatives_district_1
nash_0037,149,39,4,us_house_of_representatives_district_1
nash_0038,422,229,14,us_house_of_representatives_district_1
nash_0040A,636,479,28,us_house_of_representatives_district_1
nash_0041,0,0,0,us_house_of_representatives_district_1
nash_0042,209,104,9,us_house_of_representatives_district_1
northampton_CONWAY,189,192,12,us_house_of_representatives_district_1
northampton_CREEKS,108,112,3,us_house_of_representatives_district_1
northampton_GALATI,132,87,1,us_house_of_representatives_district_1
northampton_GARYSB,368,30,3,us_house_of_representatives_district_1
northampton_GASTON,370,147,3,us_house_of_representatives_district_1
northampton_JACKSO,89,63,6,us_house_of_representatives_district_1
northampton_LAKE G,225,239,4,us_house_of_representatives_district_1
northampton_LASKER,40,71,7,us_house_of_representatives_district_1
northampton_MILWAU,110,63,2,us_house_of_representatives_district_1
northampton_NEWTOW,156,112,4,us_house_of_representatives_district_1
northampton_PENDLE,78,38,1,us_house_of_representatives_district_1
northampton_PLEASA,84,20,4,us_house_of_representatives_district_1
northampton_POTECA,75,22,2,us_house_of_representatives_district_1
northampton_REHOBE,78,26,9,us_house_of_representatives_district_1
northampton_RICH S,246,60,10,us_house_of_representatives_district_1
northampton_SEABOA,194,87,8,us_house_of_representatives_district_1
northampton_SEVERN,114,84,5,us_house_of_representatives_district_1
northampton_WOODLA,193,81,10,us_house_of_representatives_district_1
pasquotank_1-A,134,64,9,us_house_of_representatives_district_1
pasquotank_1-B,133,97,18,us_house_of_representatives_district_1
pasquotank_2-A,77,40,6,us_house_of_representatives_district_1
pasquotank_2-B,138,53,9,us_house_of_representatives_district_1
pasquotank_3-A,135,68,9,us_house_of_representatives_district_1
pasquotank_3-B,212,7,7,us_house_of_representatives_district_1
pasquotank_4-A,179,11,4,us_house_of_representatives_district_1
pasquotank_4-B,364,55,9,us_house_of_representatives_district_1
pasquotank_MH,342,399,29,us_house_of_representatives_district_1
pasquotank_NEW,102,55,3,us_house_of_representatives_district_1
pasquotank_PRO,44,50,2,us_house_of_representatives_district_1
perquimans_EAST H,522,205,11,us_house_of_representatives_district_1
perquimans_PARKVI,702,516,26,us_house_of_representatives_district_1
perquimans_WEST H,306,237,10,us_house_of_representatives_district_1
perquimans_CURBSIDE,0,0,0,us_house_of_representatives_district_1
pitt_0301,557,274,20,us_house_of_representatives_district_1
pitt_0501,27,16,2,us_house_of_representatives_district_1
pitt_0701,149,192,13,us_house_of_representatives_district_1
pitt_0800A,0,0,0,us_house_of_representatives_district_1
pitt_0901,224,218,9,us_house_of_representatives_district_1
pitt_1101,241,194,19,us_house_of_representatives_district_1
pitt_1201,285,181,25,us_house_of_representatives_district_1
pitt_1403A1,1,0,0,us_house_of_representatives_district_1
pitt_1403A2,53,2,1,us_house_of_representatives_district_1
pitt_1403B,16,0,0,us_house_of_representatives_district_1
pitt_1501,179,15,3,us_house_of_representatives_district_1
pitt_1503,449,62,14,us_house_of_representatives_district_1
pitt_1504A,406,60,16,us_house_of_representatives_district_1
pitt_1504B,390,210,32,us_house_of_representatives_district_1
pitt_1505A,320,148,14,us_house_of_representatives_district_1
pitt_1505B,486,37,12,us_house_of_representatives_district_1
pitt_1506,136,28,7,us_house_of_representatives_district_1
pitt_1508A,1,1,0,us_house_of_representatives_district_1
pitt_1509,15,1,0,us_house_of_representatives_district_1
pitt_1512A,222,40,3,us_house_of_representatives_district_1
pitt_1512B,111,39,9,us_house_of_representatives_district_1
vance_CC,796,621,31,us_house_of_representatives_district_1
vance_EH1,1356,76,9,us_house_of_representatives_district_1
vance_HTOP,412,130,5,us_house_of_representatives_district_1
vance_MIDD,1268,633,30,us_house_of_representatives_district_1
vance_NH,1619,756,46,us_house_of_representatives_district_1
vance_NH1,1408,87,16,us_house_of_representatives_district_1
vance_NV,722,224,17,us_house_of_representatives_district_1
vance_SH1,1152,201,16,us_house_of_representatives_district_1
vance_SH2,393,107,10,us_house_of_representatives_district_1
vance_WH,1658,1054,61,us_house_of_representatives_district_1
warren_001,329,387,15,us_house_of_representatives_district_1
warren_002,255,317,14,us_house_of_representatives_district_1
warren_003,500,198,5,us_house_of_representatives_district_1
warren_004,402,153,12,us_house_of_representatives_district_1
warren_005,733,124,13,us_house_of_representatives_district_1
warren_006,697,150,14,us_house_of_representatives_district_1
warren_007,477,109,6,us_house_of_representatives_district_1
warren_008,798,67,9,us_house_of_representatives_district_1
warren_009,280,129,4,us_house_of_representatives_district_1
warren_010,1042,213,10,us_house_of_representatives_district_1
warren_011,188,65,5,us_house_of_representatives_district_1
warren_012,217,379,15,us_house_of_representatives_district_1
warren_013,284,175,5,us_house_of_representatives_district_1
warren_014,875,199,19,us_house_of_representatives_district_1
washington_LM,364,118,4,us_house_of_representatives_district_1
washington_P1,171,60,7,us_house_of_representatives_district_1
washington_P2,192,46,7,us_house_of_representatives_district_1
washington_P3,177,76,5,us_house_of_representatives_district_1
wayne_6,0,0,0,us_house_of_representatives_district_1
wayne_7,266,476,25,us_house_of_representatives_district_1
wayne_9,0,0,0,us_house_of_representatives_district_1
wayne_10,227,68,8,us_house_of_representatives_district_1
wayne_11,258,98,8,us_house_of_representatives_district_1
wayne_12,266,192,13,us_house_of_representatives_district_1
wayne_13,190,128,8,us_house_of_representatives_district_1
wayne_16,0,0,0,us_house_of_representatives_district_1
wayne_17,213,15,5,us_house_of_representatives_district_1
wayne_18,254,46,6,us_house_of_representatives_district_1
wayne_19,260,15,4,us_house_of_representatives_district_1
wayne_20,316,23,5,us_house_of_representatives_district_1
wayne_21,194,74,0,us_house_of_representatives_district_1
wayne_22,178,115,5,us_house_of_representatives_district_1
wayne_23,0,0,0,us_house_of_representatives_district_1
wayne_25,38,3,1,us_house_of_representatives_district_1
wayne_26,225,156,18,us_house_of_representatives_district_1
wayne_27,189,55,7,us_house_of_representatives_district_1
wayne_28,0,0,0,us_house_of_representatives_district_1
wayne_29,187,78,7,us_house_of_representatives_district_1
wayne_30,284,68,7,us_house_of_representatives_district_1
wilson_PRGA,707,343,29,us_house_of_representatives_district_1
wilson_PRSA,434,273,11,us_house_of_representatives_district_1
wilson_PRWA,592,89,12,us_house_of_representatives_district_1
wilson_PRWB,799,32,4,us_house_of_representatives_district_1
wilson_PRWC,1037,74,4,us_house_of_representatives_district_1
wilson_PRWD,4,2,0,us_house_of_representatives_district_1
wilson_PRWE,793,207,20,us_house_of_representatives_district_1
wilson_PRWH,649,17,1,us_house_of_representatives_district_1
wilson_PRWI,957,305,19,us_house_of_representatives_district_1
wilson_PRWJ,200,55,7,us_house_of_representatives_district_1
wilson_PRWM,490,71,6,us_house_of_representatives_district_1
wilson_PRWN,1703,60,4,us_house_of_representatives_district_1
wilson_PRWQ,487,2,1,us_house_of_representatives_district_1
wilson_PRWR,1134,54,8,us_house_of_representatives_district_1
wilson_CURBSIDE,247,20,0,us_house_of_representatives_district_1
